Sl No,Level,Country,Number of Vote,Date of Votes,Title in English,Title in German,Title in French,Title in Italien,Number of Yes-Votes in National Council,Number of No-Votes in National Council,Number of Abstentions in National Council,Number of Yes-Votes in States Council,Number of No-Votes in States Council,Number of Abstentions in States Council,Recommendation of Government,Total Electorate,Citizen Abroad,Number Of Voters,Empty Ballot Sheets,Invalid Ballot Sheets,Yes Votes,No Votes,Number of States accepting,Number of States rejecting,Linked Vote Status,Linked Vote,Without Response,Tie-Break Question: Number of People Supporting,Tie-Break Question: Number of State Supporting,Tie-Break Question: Without Response,Institutions,Number of Signatures,Number of Cantons attained (Referendum),Committee name,Comments,Theme codes,Turnout,Valid Ballot Sheets,Yes [%],No [%],Result,Def. Result
25,Country,Switzerland,589,2014-11-30,Citizens' initiative of 30.03.2013 «Save our Swiss Gold» (Restrictions for central bank gold reserves),Volksinitiative vom 20.03.2013 «Rettet unser Schweizer Gold (Gold-Initiative),Initiative populaire du 20.03.2013 «Sauvez l'or de la Suisse (Initiative sur l'or)» ,,22,156,20,2,43,0,Rejection,5247489,142651,2613900,50830,8405,580528,1974137,0,23,none,,,,,,Initiative (Formulated Draft),,,                Hinter dem Anliegen stehen einzelne Personen aus dem Umfeld SVP und der Aktion für eine unabhängige und neutrale Schweiz (Auns). Die SVP Schweiz ist gegen die Vorlage!            ,                            ,"Economy | National bank | Monetary policy",49.81,2554665,22.72,77.28,no,
26,Country,Switzerland,585,2014-09-28,Citizens' initiative of 21.09.2011 «Stopping with the disrimination of value added tax (VAT) for the gastronomy»,Volksinitiative vom 21.09.2011 «Schluss mit der MwSt-Diskriminierung des Gastgewerbers!»,Initiative populaire du 21.09.2011 «Stop à la TVA discriminatoire pour la restauration!»,,82,99,14,13,22,7,Rejection,5240533,141831,2460809,49610,7809,684563,1718827,0,23,none,,,,,,Initiative (Formulated Draft),,,Branchenverband Gastrosuisse,,"Economy | Hospitality | Indirect taxation",46.96,2403390,28.48,71.52,no,
27,Country,Switzerland,586,2014-09-28,Citizens' initiative of 23.05.2012 «For a public health insurance»,Volksinitiative vom 23.05.2012 «Für eine öffentliche Krankenkasse»,Initiative populaire du 23.05.2012 «Pour une caisse publique d'assurance-maladie»,,62,132,2,12,27,3,Rejection,5240533,141831,2472295,20087,7160,933012,1512036,4,19,none,,,,,,Initiative (Formulated Draft),,,Das Initiativkomittee besteht aus über zwanzig Patienten-Organisationen  Parteien   Berufsfach- und Branchenverbände sowie Gesundheitsorganisationen und  Gewerkschaften.,,"Social Policy | Social security | Health and accident insurance",47.18,2445048,38.16,61.84,no,
28,Country,Switzerland,581,2014-05-18,Federal decree on medical care (counter-proposal to the withdrawn Citizens' initiative «Yes to family medicine»),Bundesbeschluss vom 19.09.2013 über die medizinische Grundversorgung (Direkter Gegenentwurf zur Volksinitiative «Ja zur Hausarztmedizin»),Arrêté fédéral du 19.09.2013 concernant les soins médicaux de base (Contre-projet direct à l'initiative populaire «Oui à la médecine de famille»),,140,49,0,43,0,0,Acceptance,5221519,138548,2915993,89196,9731,2480870,336196,23,0,none,,,,,,Constitutional Referendum (Counter-draft),,,ursprünglich von der Ärzteschaft,,"Social Policy | Health | Health policy",55.85,2817066,88.07,11.93,yes,
29,Country,Switzerland,582,2014-05-18,Citizens' initiatve «Paedophiles should not work with children»,Volksinitiative vom 20.04.2011 «Pädophile sollen nicht mehr mit Kindern arbeiten dürfen»,Initiative populaire du 20.04.2011 «Pour que les pédophiles ne travaillent plus avec des enfants»,,97,91,,15,23,,Rejection,5221519,138548,2933259,59214,Not known,1819822,1044704,23,0,none,,,,,,Initiative (Formulated Draft),,,Eine Initiative der mittlerweile aufgelösten Organisation Marche Blance  www.kinder-schuetzen.ch,Das Parlament hat keine Abstimmungsempfehlung beschlossen  weil der Nationalrat sich für die Initiative und der Ständerat gegen die Initiative aussprachen.,"Legal system | Criminal law | Children and young people",56.18,2864526,63.53,36.47,yes,
30,Country,Switzerland,583,2014-05-18,Citizens' initiative «For the protection of fair wages (minimum salery initiative),Volksinitiative vom 23.01.2012 «Für den Schutz fairer Löhne (Mindestlohn-Initiative)»,Initiative populaire du 23.01.2012 «Pour la protection de salaires équitables (Initiative sur les salaires minimums»),,56,137,2,12,29,0,Rejection,5221519,138548,2942915,36192,8960,687571,2210192,0,23,none,,,,,,Initiative (Formulated Draft),,,Gewerkschaften  www.mindestlohn-initiative.ch,,"Economy | Employment | Employment conditions",56.36,2897763,23.73,76.27,no,
31,Country,Switzerland,584,2014-05-18,Federal law of 27.09.2013 on the funds for the sourcing of combat aircraft Gripen (Gripen-Fund-law),Bundesgesetz vom 27.09.2013 über den Fonds zur Beschaffung des Kampfflugzeugs Gripen (Gripen-Fonds-Gesetz),Loi fédérale du 27.09.2013 sur le fonds d'acquisition de l'avion de combat Gripen (Loi sur le fonds Gripen),,119,71,4,25,17,0,Acceptance,5221519,138548,2941136,43627,9022,1345726,1542761,,,none,,,,,,Optional Legislative Referendum (Federal Statutes),,,SP  Grüne  Gruppe Schweiz ohne Armee (GSoA) haben das Referendum ergriffen. www.nein-zum-gripen.ch  www.stop-gripen.ch,,"Security policy | Army | Public expenditure",56.33,2888487,46.59,53.41,no,
32,Country,Switzerland,578,2014-02-09,Federal decree on financing and expansion of the railway infrastructure (FABI),Bundesbeschluss über die Finanzierung und Ausbau der Eisenbahninfrastruktur (FABI),Arrête fédéral portant règlement du financement et de l'aménagement de l'infrastructure ferroviaire (FAIF),,116,33,5,37,0,0,Acceptance,5211426,137480,2930777,56560,9163,1776878,1088176,22,1,none,,,,,,Constitutional Referendum (Partialrevision),,,,Die FABI-Vorlage ist ein direkter Gegenentwurf zur Volksinitiative «Für den öffentlichen Verkehr»  die zurückgezogen wurde.,"Transport and infrastructure | Rail transport | Direct taxation",56.24,2865054,62.02,37.98,yes,
33,Country,Switzerland,579,2014-02-09,Citizens' initiative «The abortion financing is a private matter - discharge of the health insurance by cancellation of the costs of termination of pregnancy from the compulsory basic health insurance»,Volksinitiative «Abtreibungsfinanzierung ist Privatsache - Entlastung der Krankversicherung durch Streichung der Kosten des Schwangerschaftsabbruchs aus der obligatorischen Grundversicherung»,Initiative populairce «Financer l'avortement est une affaire privée»,,33,155,7,5,37,0,Rejection,5211426,137480,2940167,38655,8903,873060,2019549,0.5,22.5,none,,,,,,Initiative (Formulated Draft),,,Die Initiative stammt aus religiös-konservativen Kreisen  www.privatsache.ch,,"Social Policy | Health policy | Health and accident insurance",56.42,2892609,30.18,69.82,no,
34,Country,Switzerland,580,2014-02-09,Citizens' initiative «Against mass immigration»,Volksinitiative «Gegen Masseneinwanderung»,Initiative populaire «Contre l'immigration de masse»,,54,140,1,5,37,0,Rejection,5211426,137480,2948156,31094,8656,1463854,1444552,14.5,8.5,none,,,,,,Initiative (Formulated Draft),,,SVP,,"Immigration policy | EU | Bilateral treaties",56.57,2908406,50.33,49.67,yes,
35,Country,Switzerland,575,2013-11-24,Citizens' initiative «1:12 - for fair wages»,Volksinitiative «1:12 - Für gerechte Löhne»,,,56,130,1,10,28,4,Rejection,5203973,136156,2791082,31218,8147,954787,1796930,0,23,none,,,,,,Initiative (Formulated Draft),,,JUSO  Jungpartei der Sozialdemokraten,,"Economy | Pricing policy | Employment",53.63,2751717,34.7,65.3,no,
36,Country,Switzerland,576,2013-11-24,Citizens' initiative «Family initiative: tax deductions for parents who raise their children by themselves too»,Vollksinitiative «Familieninitiative: Steuerabzüge auch für Eltern  die ihre Kinder selber betreuen»,,,72,110,7,17,26,2,Rejection,5203973,136156,2788725,36312,8252,1139670,1604491,2.5,20.5,none,,,,,,Initiative (Formulated Draft),,,SVP,,"Public finance | Direct taxation | Family policy",53.59,2744161,41.53,58.47,no,
37,Country,Switzerland,577,2013-11-24,Amendment of the 22 March 2013 of the federal law on taxes for the use of national roads (law on national roads taxes) (motorway vignette),Änderung vom 22.03.2013 des Bundesgesetzes über die Abgabe für die Benützung von Nationalstrassen (Nationalstrassenabgabegesetz  NSAG) (Autobahnvignette),,,102,87,0,37,4,1,Acceptance,5203973,136156,2790051,31971,7964,1087368,1662748,,,none,,,,,,Optional Legislative Referendum (Federal Decrees),,,www.100-fr-vignette-nein.ch Komitee bestehend aus SVP Mitglieder  Autoverbände,,"Public finance | Indirect taxation | Road construction",53.61,2750116,39.54,60.46,no,
38,Country,Switzerland,572,2013-09-22,Citizens' initiative: «Yes to the abolition of compulsory military service»,,Volksinitiative «Ja zur Aufhebung der Wehrpflicht»,,57,128,4,8,32,2,Rejection,5194150,135134,2440536,21782,10958,644985,1762811,0,23,none,,,,,,Initiative (Formulated Draft),,,Gruppe Schweiz ohne Armee (GSoA)  www.wehrpflicht-aufheben.ch,Die Volksinitiative will den bestehenden Verfassungsartike «Jeder Schweizer ist verpflichtet  Militärdienst zu leisten» ersetzen durch die Bestimmung «Niemand kann verpflichtet werden  Militärdienst zu leisten». Der Verfassungsartikel «die Schweiz hat eine Armee. Diese ist grundsätzlich nach dem Milizprinzip organiseiert.» wird von der Initiative nicht tangiert.,"Security policy | Army | Abolition of the armed forces",46.99,2407796,26.79,73.21,no,
39,Country,Switzerland,573,2013-09-22,Federal law on control of communicable diseases (Epidemics law  EpG),Budesgesetz über die Bekämpfung übertragbarer Krankheiten des Menschen (Epidemiengesetz  EpG),,,149,14,25,40,2,3,Acceptance,5194150,135134,2428987,53727,11575,1395607,968078,,,none,,,,,,Optional Legislative Referendum (Federal Decrees),,,Eine Gruppe kleinerer  alternativmedizinisch oder religiös engagierter Verbände hat gegen das neue Epidemiegesetz das Referendum ergriffen.,,"Civil protection | Health policy | Division of tasks",46.76,2363685,59.04,40.96,yes,
40,Country,Switzerland,574,2013-09-22,Amendment of 14 December 2012 of the federal law on Labour in industry  business and trade (Employment Act  ArG),Änderung vom 14. Dezember 2012 des Bundesgesetzes über die Arbeit in Industrie  Gewerbe und Handel (Arbeitsgesetz  ArG),,,128,59,2,29,11,3,Acceptance,5194150,135134,2429435,46811,Not known,1345662,1025817,,,none,,,,,,Optional Legislative Referendum (Federal Decrees),,,                Gegen das Gesetz ist die Sonntagsallianz  der CSP  EVP  Grüne  SP  Gewerkschaften  Landkirchen und Arbeitsmediziner angehören.            ,                            ,"Economy | Employment | none",46.77,2371479,56.74,43.26,yes,
41,Country,Switzerland,570,2013-06-09,Citizens' Initiative «Popular election of the federal government»,Volksinitiative «Volkswahl des Bundesrates»,,,49,137,9,5,34,3,Rejection,5184426,133700,2048664,12777,5516,480291,1550080,0,23,none,,,,,,Initiative (Formulated Draft),,,SVP  www.volkswahl.ch,,"State organisation | Government, administration | Citizens' rights",39.52,2030371,23.66,76.34,no,
42,Country,Switzerland,571,2013-06-09,Urgent amendment of the law on asylum,Dringliche Änderungen des Asylgesetzes,,,122,49,14,36,9,0,Acceptance,5184426,133700,2044092,33033,5878,1573007,432174,,,none,,,,,,Optional Legislative Referendum (Federal acts declared urgent),,,Junge Grüne zusammen mit verschiedenen Asylrechtsorganisationen und kirchlichen Vereinigungen,,"Social Policy | Social groups | Refugees",39.43,2005181,78.45,21.55,yes,
43,Country,Switzerland,567,2013-03-03,Federal decree of 15 June 2012 on family policy,Bundesbeschluss vom 15. Juni 2012 über die Familienpolitik,,,129,57,2,28,12,1,Acceptance,5174680,132688,2412095,42998,6615,1283951,1078531,10,13,none,,,,,,Constitutional Referendum (Partialrevision),,,,,"Family policy | Employment policy | Education policy",46.61,2362482,54.35,45.65,no,
44,Country,Switzerland,568,2013-03-03,Citizens' initiative against «fat-cat pay» (to curp senior managers' pay),Volksinitiative «gegen die Abzockerei»,,,87,104,4,14,26,1,Rejection,5174680,132688,2418825,34173,6493,1616184,761975,23,0,none,,,,,,Initiative (Formulated Draft),,,Thomas Minder,Zwar haben beide Kammer der Botschaft des Bundesrates zur Volksinitiative (Ablehnung) und zur Änderung des Obligationsrecht (Zustimmung)  BBl 2009 299 zugestimmt. Der Bundesrat und Ständerat empfehlen die Ablehnung der Initiative. Der Nationalrat hat keine Abstimmungsempfehlung beschlossen. Somit hat auch die Bundesversammlung als ganzes keine Abstimmungsempfehlung beschlossen.,"Economic policy | Structural policy | Employment conditions",46.74,2378159,67.96,32.04,yes,
45,Country,Switzerland,569,2013-03-03,Amendment of spatial planning law,Änderung des Raumplanungsgesetzes (RPG),,,108,77,10,30,10,1,Acceptance,5174680,132688,2406787,51840,6491,1476942,871514,,,none,,,,,,Optional Legislative Referendum (Federal Decrees),,,www.rpg-revision-nein.ch,Die Änderung des Raumplanungsgesetzes wurde vom Parlament als indirekter Gegenvorschlag zur Landschaftsinitiative beschlossen. Diese verlangt  dass die Gesamtfläche der Bauzonen in der Schweiz während 20 Jahren nicht vergrössert wird. Sie wurde vom Initiativkomitee unter der Bedingung zuru?ckgezogen  dass die Revision des Raumplanungsgesetzes in Kraft tritt. Wird die nun vorliegende Revision abgelehnt  so kommt die Landschaftsinitiative zur Abstimmung.,"Soil | Spatial planning | Division of tasks",46.51,2348456,62.89,37.11,yes,
