"Sl No","Number of Vote","Date of Votes","Title in English","Title in French","Result","Def. Result","keyword1","keyword2","keyword3","type","Institutions","Theme codes","Turnout","Valid Ballot Sheets","Yes [%]","No [%]","Number of Yes-Votes in National Council","Number of No-Votes in National Council","Number of Abstentions in National Council","Number of Yes-Votes in States Council","Number of No-Votes in States Council","Number of Abstentions in States Council","Recommendation of Government","Total Electorate","Number Of Voters","Yes Votes","No Votes","Number of States accepting","Number of States rejecting","Linked Vote Status","Linked Vote","Without Response","Tie-Break Question: Number of People Supporting","Tie-Break Question: Number of State Supporting","Tie-Break Question: Without Response"
11,603,2016-06-05,"Amendment of 12 December 2014 of federal law on reproductive medicine ","Modification du 12.12.2014 de la loi sur la procréation médicalement assistée (LPMA)","yes","no","Social Policy","Health","Reproductive medicine","facultative Referendum","Optional Legislative Referendum (Federal Decrees)","Social Policy | Health | Reproductive medicine","46.68",2387735,62.42,"37.58","123","66","5","26","10","9","Acceptance",5313442,2480345,1490417,897318,NA,NA,"none",NA,NA,NA,NA,NA
12,604,2016-06-05,"Amendment of 25 September 2015 of the law on asylum ","Modification du 25.09.2015 de la loi sur l'asile ","yes","no","Social Policy","Social groups","Refugees","facultative Referendum","Optional Legislative Referendum (Federal Decrees)","Social Policy | Social groups | Refugees","46.79",2420683,66.78,"33.22","138","55","1","35","5","3","Acceptance",5313422,2486032,1616597,804086,NA,NA,"none",NA,NA,NA,NA,NA
13,596,2016-02-28,"Citizens' initiative of 05 November 2012 ""For marriage and family - against the marriage penalty""","Initiative populaire du 05.11.2012 ""Pour le couple et la famille - non à la pénalisation du mariage""","no",NA,"Social Policy","Family policy","Tax policy","initiative","Initiative (Formulated Draft)","Social Policy | Family policy | Tax policy","63.25",3273376,49.16,"50.84","85","107","1","20","25","0","Rejection",5302797,3354019,1609152,1664224,"16.5","6.5","none",NA,NA,NA,NA,NA
14,597,2016-02-28,"Citizens' initiative of 29 December 2012 ""For the enforcement of the deportation of criminal foreigners""","Initiative populaire du 28.12.2012 «Pour le renvoi effectif des étrangers criminels (initiative de mise en oeuvre)» ","no",NA,"Legal system","Criminal law","Fundamental rights","initiative","Initiative (Formulated Draft)","Legal system | Criminal law | Fundamental rights","63.73",3342063,41.15,"58.85","57","140","0","6","38","0","Rejection",5302797,3379567,1375098,1966965,"4.5","18.5","none",NA,NA,NA,NA,NA
15,598,2016-02-28,"Citizens' initiative of 24 March 2014 ""No food speculation!""","Initiative populaire du  24.03.2014 «Pas de spéculation sur les denrées alimentaires»","no",NA,"Economic policy","Banks, stock exchange, insurance","Agriculture","initiative","Initiative (Formulated Draft)","Economic policy | Banks, stock exchange, insurance | Agriculture","62.91",3213723,40.07,"59.93","58","130","5","11","31","1","Rejection",5302797,3336178,1287786,1925937,"1.5","21.5","none",NA,NA,NA,NA,NA
16,599,2016-02-28,"Amendment of 26 September 2014 of Federal law on road transit traffic in the alpine region (STVG) (Renovation of the Gotthard road tunnel) ","Modification du 26.09.2014 de la loi fédérale sur le transit routier dans la région alpine (LTRA) (Réfection du tunnel routier du Gothard) ","yes",NA,"Transport and infrastructure","Road transport","Road construction","facultative Referendum","Optional Legislative Referendum (Federal Decrees)","Transport and infrastructure | Road transport | Road construction","63.47",3304249,57.01,"42.99","120","76","2","28","17","0","Acceptance",5302797,3365568,1883859,1420390,NA,NA,"none",NA,NA,NA,NA,NA
17,593,2015-06-14,"Citizens' initiative of 20 January 2012 «scholarship-initiative»","Initiative populaire du 20.01.2012 «Initiative sur les bourses d'études»","no",NA,"Education and research","Universities","Division of tasks","initiative","Initiative (Formulated Draft)","Education and research | Universities | Division of tasks","43.45",2222195,27.46,"72.54","58","135","1","12","32","1","Rejection",5265120,2287555,610284,1611911,"0","23","none",NA,NA,NA,NA,NA
18,594,2015-06-14,"Citizens' initiative of 15 February 2013 «to impose inheritance of millions for our Old-Age and survivors' insurance AHV (Reform of inheritance tax)»","Initiative populaire du 15.02.2013 «Imposer les successions de plusieurs millions pour financer notre AVS (Réform de la fiscalité successorale)»","no",NA,"Public finance","Indirect taxation","Federalism","initiative","Initiative (Formulated Draft)","Public finance | Indirect taxation | Federalism","43.23",2271612,28.98,"71.02","60","135","1","9","34","2","Rejection",5254965,2271612,658218,1613394,"0","23","none",NA,NA,NA,NA,NA
19,595,2015-06-14,"Amendment of 26 September 2014 of Federal law on Radio and Television (RTVG)","Modification du 26.09.2014 de la loi fédérale sur la radio et la télévision (LRTV)","yes",NA,"Media and communication","Radio, television and electronic media","Indirect taxation","facultative Referendum","Optional Legislative Referendum (Federal Decrees)","Media and communication | Radio, television and electronic media | Indirect taxation","43.65",2253395,50.08,"49.92","109","85","4","28","14","3","Acceptance",5265120,2297963,1128522,1124873,NA,NA,"none",NA,NA,NA,NA,NA
20,592,2015-06-14,"Federal parliamentary decree of 12 December 2014 on the amendment of constitutional provision regarding reproductive medicine and gene technology involving human beings","Arrête fédéral du 12 Decembre 2014 concernant la modification de l'article constitutionnel relatif à la procréation médicalement assistée et au génie génetique dans le domaine humain.","yes",NA,"Health","Medical research and technology","Genetic engineering","mandatory Referendum","Constitutional Referendum (Partialrevision)","Health | Medical research and technology | Genetic engineering","43.51",2224478,61.93,"38.07","160","31","4","34","8","3","Acceptance",5265120,2290993,1377613,846865,"18.5","4.5","none",NA,NA,NA,NA,NA
21,590,2015-03-08,"Citizens' initiative of 5 November 2012 «Strength families! For tax free children and education supplements»","Initiative populaire du 5 Novembre 2012 «Aider les familles! Pour des allocations pour enfant et des allocation de formation professionnelle exonérées de l'impot»","no",NA,"Direct taxation","Family policy","Welfare","initiative","Initiative (Formulated Draft)","Direct taxation | Family policy | Welfare","42.07",2187904,24.58,"75.42","35","159","4","13","32","0","Rejection",5254965,2210891,537795,1650109,"0","23","none",NA,NA,NA,NA,NA
22,591,2015-03-08,"Citizens' initiative of 17 December 2012 «To replace of value added taxes by taxes on energy»","Initiative populaire du 17 Décembre «Remplacer la taxe sur la valeur ajoutée par une taxe sur l'energie»","no",NA,"Taxation","Indirect taxation","Energy policy","initiative","Initiative (Formulated Draft)","Taxation | Indirect taxation | Energy policy","42.06",2185731,8.03,"91.97","27","171","0","3","40","2","Rejection",5254965,2210121,175405,2010326,"0","23","none",NA,NA,NA,NA,NA
23,587,2014-11-30,"Citizens' initiative of 19.10.2012 «to end tax breaks for wealthy foreigners» (Abolition of lump sum taxation)","Initiative populaire du 19.10.2012 «Halte aux privilèges fiscaux des millionnaires (abolition des forfaits fiscaux»","no",NA,"Public finance","Tax policy","Financial system","initiative","Initiative (Formulated Draft)","Public finance | Tax policy | Financial system","49.91",2581239,40.8,"59.2","62","135","1","13","30","2","Rejection",5247489,2618768,1053125,1528114,"1","22","none",NA,NA,NA,NA,NA
24,588,2014-11-30,"Citizens' initiative of 02.11.2012 «Halt overpopulation - Preserve the natural environment» (Ecopop)","Initiative populaire du 02.11.2012 «Halte à la surpopulation - Oui à la préservation durable des ressources naturelles» (Ecopop)","no",NA,"Environment and living space","Immigration policy","Development cooperation","initiative","Initiative (Formulated Draft)","Environment and living space | Immigration policy | Development cooperation","49.98",2591553,25.9,"74.1","3","190","5","1","44","0","Rejection",5247489,2622700,671099,1920454,"0","23","none",NA,NA,NA,NA,NA
25,589,2014-11-30,"Citizens' initiative of 30.03.2013 «Save our Swiss Gold» (Restrictions for central bank gold reserves)","Initiative populaire du 20.03.2013 «Sauvez l'or de la Suisse (Initiative sur l'or)» ","no",NA,"Economy","National bank","Monetary policy","initiative","Initiative (Formulated Draft)","Economy | National bank | Monetary policy","49.81",2554665,22.72,"77.28","22","156","20","2","43","0","Rejection",5247489,2613900,580528,1974137,"0","23","none",NA,NA,NA,NA,NA
26,585,2014-09-28,"Citizens' initiative of 21.09.2011 «Stopping with the disrimination of value added tax (VAT) for the gastronomy»","Initiative populaire du 21.09.2011 «Stop à la TVA discriminatoire pour la restauration!»","no",NA,"Economy","Hospitality","Indirect taxation","initiative","Initiative (Formulated Draft)","Economy | Hospitality | Indirect taxation","46.96",2403390,28.48,"71.52","82","99","14","13","22","7","Rejection",5240533,2460809,684563,1718827,"0","23","none",NA,NA,NA,NA,NA
27,586,2014-09-28,"Citizens' initiative of 23.05.2012 «For a public health insurance»","Initiative populaire du 23.05.2012 «Pour une caisse publique d'assurance-maladie»","no",NA,"Social Policy","Social security","Health and accident insurance","initiative","Initiative (Formulated Draft)","Social Policy | Social security | Health and accident insurance","47.18",2445048,38.16,"61.84","62","132","2","12","27","3","Rejection",5240533,2472295,933012,1512036,"4","19","none",NA,NA,NA,NA,NA
28,581,2014-05-18,"Federal decree on medical care (counter-proposal to the withdrawn Citizens' initiative «Yes to family medicine»)","Arrêté fédéral du 19.09.2013 concernant les soins médicaux de base (Contre-projet direct à l'initiative populaire «Oui à la médecine de famille»)","yes",NA,"Social Policy","Health","Health policy","mandatory Referendum","Constitutional Referendum (Counter-draft)","Social Policy | Health | Health policy","55.85",2817066,88.07,"11.93","140","49","0","43","0","0","Acceptance",5221519,2915993,2480870,336196,"23","0","none",NA,NA,NA,NA,NA
29,582,2014-05-18,"Citizens' initiatve «Paedophiles should not work with children»","Initiative populaire du 20.04.2011 «Pour que les pédophiles ne travaillent plus avec des enfants»","yes",NA,"Legal system","Criminal law","Children and young people","initiative","Initiative (Formulated Draft)","Legal system | Criminal law | Children and young people","56.18",2864526,63.53,"36.47","97","91",NA,"15","23",NA,"Rejection",5221519,2933259,1819822,1044704,"23","0","none",NA,NA,NA,NA,NA
30,583,2014-05-18,"Citizens' initiative «For the protection of fair wages (minimum salery initiative)","Initiative populaire du 23.01.2012 «Pour la protection de salaires équitables (Initiative sur les salaires minimums»)","no",NA,"Economy","Employment","Employment conditions","initiative","Initiative (Formulated Draft)","Economy | Employment | Employment conditions","56.36",2897763,23.73,"76.27","56","137","2","12","29","0","Rejection",5221519,2942915,687571,2210192,"0","23","none",NA,NA,NA,NA,NA
31,584,2014-05-18,"Federal law of 27.09.2013 on the funds for the sourcing of combat aircraft Gripen (Gripen-Fund-law)","Loi fédérale du 27.09.2013 sur le fonds d'acquisition de l'avion de combat Gripen (Loi sur le fonds Gripen)","no",NA,"Security policy","Army","Public expenditure","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Security policy | Army | Public expenditure","56.33",2888487,46.59,"53.41","119","71","4","25","17","0","Acceptance",5221519,2941136,1345726,1542761,NA,NA,"none",NA,NA,NA,NA,NA
32,578,2014-02-09,"Federal decree on financing and expansion of the railway infrastructure (FABI)","Arrête fédéral portant règlement du financement et de l'aménagement de l'infrastructure ferroviaire (FAIF)","yes",NA,"Transport and infrastructure","Rail transport","Direct taxation","mandatory Referendum","Constitutional Referendum (Partialrevision)","Transport and infrastructure | Rail transport | Direct taxation","56.24",2865054,62.02,"37.98","116","33","5","37","0","0","Acceptance",5211426,2930777,1776878,1088176,"22","1","none",NA,NA,NA,NA,NA
33,579,2014-02-09,"Citizens' initiative «The abortion financing is a private matter - discharge of the health insurance by cancellation of the costs of termination of pregnancy from the compulsory basic health insurance»","Initiative populairce «Financer l'avortement est une affaire privée»","no",NA,"Social Policy","Health policy","Health and accident insurance","initiative","Initiative (Formulated Draft)","Social Policy | Health policy | Health and accident insurance","56.42",2892609,30.18,"69.82","33","155","7","5","37","0","Rejection",5211426,2940167,873060,2019549,"0.5","22.5","none",NA,NA,NA,NA,NA
34,580,2014-02-09,"Citizens' initiative «Against mass immigration»","Initiative populaire «Contre l'immigration de masse»","yes",NA,"Immigration policy","EU","Bilateral treaties","initiative","Initiative (Formulated Draft)","Immigration policy | EU | Bilateral treaties","56.57",2908406,50.33,"49.67","54","140","1","5","37","0","Rejection",5211426,2948156,1463854,1444552,"14.5","8.5","none",NA,NA,NA,NA,NA
35,575,2013-11-24,"Citizens' initiative «1:12 - for fair wages»",NA,"no",NA,"Economy","Pricing policy","Employment","initiative","Initiative (Formulated Draft)","Economy | Pricing policy | Employment","53.63",2751717,34.7,"65.3","56","130","1","10","28","4","Rejection",5203973,2791082,954787,1796930,"0","23","none",NA,NA,NA,NA,NA
36,576,2013-11-24,"Citizens' initiative «Family initiative: tax deductions for parents who raise their children by themselves too»",NA,"no",NA,"Public finance","Direct taxation","Family policy","initiative","Initiative (Formulated Draft)","Public finance | Direct taxation | Family policy","53.59",2744161,41.53,"58.47","72","110","7","17","26","2","Rejection",5203973,2788725,1139670,1604491,"2.5","20.5","none",NA,NA,NA,NA,NA
37,577,2013-11-24,"Amendment of the 22 March 2013 of the federal law on taxes for the use of national roads (law on national roads taxes) (motorway vignette)",NA,"no",NA,"Public finance","Indirect taxation","Road construction","facultative Referendum","Optional Legislative Referendum (Federal Decrees)","Public finance | Indirect taxation | Road construction","53.61",2750116,39.54,"60.46","102","87","0","37","4","1","Acceptance",5203973,2790051,1087368,1662748,NA,NA,"none",NA,NA,NA,NA,NA
38,572,2013-09-22,"Citizens' initiative: «Yes to the abolition of compulsory military service»","Volksinitiative «Ja zur Aufhebung der Wehrpflicht»","no",NA,"Security policy","Army","Abolition of the armed forces","initiative","Initiative (Formulated Draft)","Security policy | Army | Abolition of the armed forces","46.99",2407796,26.79,"73.21","57","128","4","8","32","2","Rejection",5194150,2440536,644985,1762811,"0","23","none",NA,NA,NA,NA,NA
39,573,2013-09-22,"Federal law on control of communicable diseases (Epidemics law  EpG)",NA,"yes",NA,"Civil protection","Health policy","Division of tasks","facultative Referendum","Optional Legislative Referendum (Federal Decrees)","Civil protection | Health policy | Division of tasks","46.76",2363685,59.04,"40.96","149","14","25","40","2","3","Acceptance",5194150,2428987,1395607,968078,NA,NA,"none",NA,NA,NA,NA,NA
40,574,2013-09-22,"Amendment of 14 December 2012 of the federal law on Labour in industry  business and trade (Employment Act  ArG)",NA,"yes",NA,"Economy","Employment","none","facultative Referendum","Optional Legislative Referendum (Federal Decrees)","Economy | Employment | none","46.77",2371479,56.74,"43.26","128","59","2","29","11","3","Acceptance",5194150,2429435,1345662,1025817,NA,NA,"none",NA,NA,NA,NA,NA
41,570,2013-06-09,"Citizens' Initiative «Popular election of the federal government»",NA,"no",NA,"State organisation","Government, administration","Citizens' rights","initiative","Initiative (Formulated Draft)","State organisation | Government, administration | Citizens' rights","39.52",2030371,23.66,"76.34","49","137","9","5","34","3","Rejection",5184426,2048664,480291,1550080,"0","23","none",NA,NA,NA,NA,NA
42,571,2013-06-09,"Urgent amendment of the law on asylum",NA,"yes",NA,"Social Policy","Social groups","Refugees","facultative Referendum","Optional Legislative Referendum (Federal acts declared urgent)","Social Policy | Social groups | Refugees","39.43",2005181,78.45,"21.55","122","49","14","36","9","0","Acceptance",5184426,2044092,1573007,432174,NA,NA,"none",NA,NA,NA,NA,NA
43,567,2013-03-03,"Federal decree of 15 June 2012 on family policy",NA,"no",NA,"Family policy","Employment policy","Education policy","mandatory Referendum","Constitutional Referendum (Partialrevision)","Family policy | Employment policy | Education policy","46.61",2362482,54.35,"45.65","129","57","2","28","12","1","Acceptance",5174680,2412095,1283951,1078531,"10","13","none",NA,NA,NA,NA,NA
44,568,2013-03-03,"Citizens' initiative against «fat-cat pay» (to curp senior managers' pay)",NA,"yes",NA,"Economic policy","Structural policy","Employment conditions","initiative","Initiative (Formulated Draft)","Economic policy | Structural policy | Employment conditions","46.74",2378159,67.96,"32.04","87","104","4","14","26","1","Rejection",5174680,2418825,1616184,761975,"23","0","none",NA,NA,NA,NA,NA
45,569,2013-03-03,"Amendment of spatial planning law",NA,"yes",NA,"Soil","Spatial planning","Division of tasks","facultative Referendum","Optional Legislative Referendum (Federal Decrees)","Soil | Spatial planning | Division of tasks","46.51",2348456,62.89,"37.11","108","77","10","30","10","1","Acceptance",5174680,2406787,1476942,871514,NA,NA,"none",NA,NA,NA,NA,NA
46,566,2012-11-25,"Amendment of the law on epizootic diseases",NA,"yes",NA,"Agriculture","Animal protection","Territoral questions","facultative Referendum","Optional Legislative Referendum (Federal Decrees)","Agriculture | Animal protection | Territoral questions","27.6",1385704,68.28,"31.72","192","1","3","43","0","0","Acceptance",5166732,1425830,946220,439484,NA,NA,"none",NA,NA,NA,NA,NA
47,563,2012-09-23,"Federal decree on the promotion of music for young people (Counter-proposal to the withdrawn citizens' initiative «youth + music»)",NA,"yes",NA,"Education and research","Education policy","Children and young people","mandatory Referendum","Constitutional Referendum (Counter-draft)","Education and research | Education policy | Children and young people","42.41",2135276,72.69,"27.31","156","31","8","31","6","6","Acceptance",5160811,2188758,1552045,583231,"23","0","none",NA,NA,NA,NA,NA
48,564,2012-09-23,"Citizens' initiative of 23.01.2009 «Safe housing for the elderly»",NA,"no",NA,"Direct taxation","Building of residential housing, property ownership","Senior citizens","initiative","Initiative (Formulated Draft)","Direct taxation | Building of residential housing, property ownership | Senior citizens","42.53",2139511,47.39,"52.61","77","119","1","6","36","1","Rejection",5160811,2194727,1014016,1125495,"9.5","13.5","none",NA,NA,NA,NA,NA
49,565,2012-09-23,"Citizens' initiative of 18 May 2010 «Protection from exposure to tobacco smoke»",NA,"no",NA,"Health policy","Addictive substances","Employment conditions","initiative","Initiative (Formulated Draft)","Health policy | Addictive substances | Employment conditions","42.81",2179190,34.01,"65.99","52","138","4","7","28","7","Rejection",5160811,2209395,741205,1437985,"1","22","none",NA,NA,NA,NA,NA
50,560,2012-06-17,"Citizens' initiative «Own four walls thanks to building savings»",NA,"no",NA,"Housing","Building of residential housing, property ownership","Tax policy","initiative","Initiative (Formulated Draft)","Housing | Building of residential housing, property ownership | Tax policy","38.53",1934288,31.09,"68.91","98","72","Not known","16","24","Not known","Rejection",5149086,1984038,601449,1332839,"0","23","none",NA,NA,NA,NA,NA
51,561,2012-06-17,"Citizens' initiative of 11 August 2009 «For strengthening the popular rights on foreign policy (submittal of state treaties to the people!)»",NA,"no",NA,"Citizens' rights","Referendum","Foreign policy","initiative","Initiative (Formulated Draft)","Citizens' rights | Referendum | Foreign policy","38.53",1942832,24.72,"75.28","56","139","1","6","36","1","Rejection",5149086,1983704,480173,1462659,"0","23","none",NA,NA,NA,NA,NA
52,562,2012-06-17,"Ammendment on 30.09.2011 of the federal law on the health insurance (KVG) (Managed Care)",NA,"no",NA,"Health policy","Social security","Health and accident insurance","facultative Referendum","Optional Legislative Referendum (Federal Decrees)","Health policy | Social security | Health and accident insurance","38.65",1949529,23.95,"76.05","133","46","17","28","6","10","Acceptance",5149086,1990232,466993,1482536,NA,NA,"none",NA,NA,NA,NA,NA
53,558,2012-03-11,"Federal decree of 29 September 2011 on the Regulation of gamblings in favour of charitable purposes (Counter-proposal to the citizen's initiative 'For Gamblings in favour of public weal')",NA,"yes",NA,"Lottery and gambling","Public finance","Consumer protection","mandatory Referendum","Constitutional Referendum (Counter-draft)","Lottery and gambling | Public finance | Consumer protection","44.77",2200290,87.09,"12.91","140","3","0","34","0","0","Acceptance",5139055,2300568,1916182,284108,"23","0","none",NA,NA,NA,NA,NA
54,559,2012-03-11,"Federal law of 18 March 2011 on controlled prices for books",NA,"no",NA,"Economic policy","Pricing policy","Cultural policy","facultative Referendum","Optional Legislative Referendum (Federal Decrees)","Economic policy | Pricing policy | Cultural policy","44.86",2200855,43.92,"56.08","96","86","5","23","19","1","Acceptance",5139055,2305239,966633,1234222,NA,NA,"none",NA,NA,NA,NA,NA
55,555,2012-03-11,"Citizen's initiative «To stop unconstrained building of secondary residences»",NA,"yes",NA,"Environment and living space","Housing","Spatial planning","initiative","Initiative (Formulated Draft)","Environment and living space | Housing | Spatial planning","45.18",2276400,50.63,"49.37","61","123","3","10","29","3","Rejection",5139055,2321951,1152598,1123802,"13.5","9.5","none",NA,NA,NA,NA,NA
56,556,2012-03-11,"Citizen's Initiative «For fiscal incentives for first private residential property acquisation and for tax incentives for energy-saving and environmental impact limitation for residences»",NA,"no",NA,"Public finance","Tax policy","Budget cuts and remediation measures","initiative","Initiative (Formulated Draft)","Public finance | Tax policy | Budget cuts and remediation measures","44.99",2218098,44.19,"55.81","98","62","8","16","24","Not known","Rejection",5139055,2311923,980273,1237825,"4.5","18.5","none",NA,NA,NA,NA,NA
57,557,2012-03-11,"Citizen's Initiative «6 weeks holidays for all»",NA,"no",NA,"Employment conditions","Working hours","Health","initiative","Initiative (Formulated Draft)","Employment conditions | Working hours | Health","45.42",2303703,33.5,"66.5","61","122","2","10","32","0","Rejection",5139055,2334005,771717,1531986,"0","23","none",NA,NA,NA,NA,NA
58,554,2011-02-13,"Initiative ""Protection from gun violence""",NA,"no",NA,"Armed forces - general","Public security","none","initiative","Initiative (Formulated Draft)","Armed forces - general | Public security | none","49.12",2479124,43.7,"56.3","69","119","4","11","30","1","Rejection",5091652,2501260,1083312,1395812,"5.5","17.5","none",NA,NA,NA,NA,NA
59,552,2010-11-28,"Citizens initiative ""for the expulsion of criminal foreigners"" (expulsion initiative)","Initiative sur l'expulsion","yes",NA,"Fundamental rights","Immigration policy","Cultural policy","initiative","Initiative (Formulated Draft)","Fundamental rights | Immigration policy | Cultural policy","52.93",2674627,52.91,"47.09","82","92","19","5","26","10","Rejection",5084053,2690799,1397923,1243942,"17.5","5.5","linked","Federal Decree of 10 june 2010 on the deporting of criminal foreigners (Counter-proposal)",32762,1252761,"13 4/2",150501
60,552,2010-11-28,"Federal Decree of 10 june 2010 on the deporting of criminal foreigners (Counter-proposal)","Contre-projet de l'Assemblée fédéral à ""l'initiative sur le renvoi""","no",NA,"Fundamental rights","Immigration policy","Cultural policy","mandatory Referendum","Constitutional Referendum (Counter-draft)","Fundamental rights | Immigration policy | Cultural policy","52.93",2674627,45.79,"54.21","92","82","19","26","5","0","Acceptance",5084053,2690799,1189269,1407830,"0","23","linked","Citizens initiative ""for the expulsion of criminal foreigners"" (expulsion initiative)",77528,1271365,"8",150501
61,553,2010-11-28,"Citizens initiative ""for equitables taxes""","Intitiative pour des impôts équitables","no",NA,"Tax policy","Tax system","Direct taxation","initiative","Initiative (General Suggestion)","Tax policy | Tax system | Direct taxation","52.36",2583818,41.54,"58.46","64","128","2","11","29","1","Rejection",5084053,2662110,1073229,1510589,"19.5","3.5","none",NA,NA,NA,NA,NA
62,551,2010-09-26,"Revision of the law on unemployment insurance","La révision de la loi sur l'assurance-chômage","yes",NA,"Unemployment insurance","none","none","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Unemployment insurance | none | none","35.84",1795014,53.42,"46.58","91","64","37","32","12","0","Acceptance",5077180,1819477,958913,836101,"Not known","Not known","none",NA,NA,NA,NA,NA
